JuncType	Event_ID	Event_Group	chr	strand	GeneID	geneSymbol	Gene_Event_ID	Gene_Event_Type	DSE_Category	Control_vs_shRING1A.B	Control_vs_shRYBP	shRYBP_vs_shRING1A.B
JCEC	Event_3696	Skipped Exon	chr12	-	ENSG00000079387	SENP1	1	Skipped Exon_1	Unique to shRING1A.B vs Control	0.158		
JC	Event_3987	Skipped Exon	chrX	-	ENSG00000079482	OPHN1	1	Skipped Exon_1				0.175
JCEC	Event_5250	Skipped Exon	chrX	-	ENSG00000079482	OPHN1	2	Skipped Exon_2				0.207
JC	Event_2967	Skipped Exon	chr19	+	ENSG00000079805	DNM2	1	Skipped Exon_1	Same Direction	0.154		0.208
JC	Event_2968	Skipped Exon	chr19	+	ENSG00000079805	DNM2	2	Skipped Exon_2	Unique to shRING1A.B vs Control	0.114		
JC	Event_3864	Skipped Exon	chr19	+	ENSG00000079805	DNM2	3	Skipped Exon_3				-0.151
JC	Event_962	Mutually Exclusive Exon	chr19	+	ENSG00000079805	DNM2	1	Mutually Exclusive Exon_1	Same Direction	0.132		0.2
JCEC	Event_2967	Skipped Exon	chr19	+	ENSG00000079805	DNM2	1	Skipped Exon_1	Same Direction	0.154		0.208
JCEC	Event_2968	Skipped Exon	chr19	+	ENSG00000079805	DNM2	2	Skipped Exon_2	Unique to shRING1A.B vs Control	0.114		
JCEC	Event_3864	Skipped Exon	chr19	+	ENSG00000079805	DNM2	3	Skipped Exon_3				-0.151
JCEC	Event_962	Mutually Exclusive Exon	chr19	+	ENSG00000079805	DNM2	1	Mutually Exclusive Exon_1	Same Direction	0.132		0.2
JC	Event_4068	Skipped Exon	chr6	-	ENSG00000079819	EPB41L2	1	Skipped Exon_1				0.197
JCEC	Event_4068	Skipped Exon	chr6	-	ENSG00000079819	EPB41L2	1	Skipped Exon_1				0.197
JC	Event_1060	Mutually Exclusive Exon	chr14	-	ENSG00000080823	MOK	1	Mutually Exclusive Exon_1				-0.371
JC	Event_2146	Skipped Exon	chr14	-	ENSG00000080823	MOK	1	Skipped Exon_1	Common to shRING1A.B and shRYBP	0.166	0.131	
JC	Event_2147	Skipped Exon	chr14	-	ENSG00000080823	MOK	2	Skipped Exon_2	Unique to shRYBP vs Control		0.291	
JC	Event_2148	Skipped Exon	chr14	-	ENSG00000080823	MOK	3	Skipped Exon_3	Different Direction	0.285	0.784	-0.499
JC	Event_2149	Skipped Exon	chr14	-	ENSG00000080823	MOK	4	Skipped Exon_4	Common to shRING1A.B and shRYBP	-0.136	-0.143	
JC	Event_883	Mutually Exclusive Exon	chr14	-	ENSG00000080823	MOK	2	Mutually Exclusive Exon_2			0.358	-0.333
JC	Event_884	Mutually Exclusive Exon	chr14	-	ENSG00000080823	MOK	3	Mutually Exclusive Exon_3	Unique to shRYBP vs Control		0.237	
JCEC	Event_1060	Mutually Exclusive Exon	chr14	-	ENSG00000080823	MOK	1	Mutually Exclusive Exon_1				-0.371
JCEC	Event_2147	Skipped Exon	chr14	-	ENSG00000080823	MOK	2	Skipped Exon_2	Unique to shRYBP vs Control		0.291	
JCEC	Event_2148	Skipped Exon	chr14	-	ENSG00000080823	MOK	3	Skipped Exon_3	Different Direction	0.285	0.784	-0.499
JCEC	Event_2149	Skipped Exon	chr14	-	ENSG00000080823	MOK	4	Skipped Exon_4	Common to shRING1A.B and shRYBP	-0.136	-0.143	
JCEC	Event_5004	Skipped Exon	chr14	-	ENSG00000080823	MOK	5	Skipped Exon_5	Unique to shRING1A.B vs Control	0.17		
JCEC	Event_805	Alternative 3' Splice Site	chr14	-	ENSG00000080823	MOK	1	Alternative 3' Splice Site_1	Unique to shRING1A.B vs Control	0.523		
JCEC	Event_883	Mutually Exclusive Exon	chr14	-	ENSG00000080823	MOK	2	Mutually Exclusive Exon_2			0.358	-0.333
JCEC	Event_884	Mutually Exclusive Exon	chr14	-	ENSG00000080823	MOK	3	Mutually Exclusive Exon_3	Unique to shRYBP vs Control		0.237	
JC	Event_3540	Skipped Exon	chr9	-	ENSG00000081377	CDC14B	1	Skipped Exon_1	Unique to shRING1A.B vs Control	0.269		
JCEC	Event_3540	Skipped Exon	chr9	-	ENSG00000081377	CDC14B	1	Skipped Exon_1	Unique to shRING1A.B vs Control	0.269		
JC	Event_1389	Retained Intron	chr7	-	ENSG00000082014	SMARCD3	1	Retained Intron_1	Unique to shRING1A.B vs Control	0.262		
JCEC	Event_1544	Retained Intron	chr7	-	ENSG00000082014	SMARCD3	2	Retained Intron_2	Common to shRING1A.B and shRYBP	0.187	0.158	
JC	Event_984	Mutually Exclusive Exon	chr2	+	ENSG00000082146	STRADB	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control	-0.157		
JCEC	Event_984	Mutually Exclusive Exon	chr2	+	ENSG00000082146	STRADB	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control	-0.157		
JC	Event_3112	Skipped Exon	chr6	+	ENSG00000082269	FAM135A	1	Skipped Exon_1	Unique to shRING1A.B vs Control	-0.199		
JCEC	Event_3112	Skipped Exon	chr6	+	ENSG00000082269	FAM135A	1	Skipped Exon_1	Unique to shRING1A.B vs Control	-0.199		
JC	Event_2277	Skipped Exon	chr2	-	ENSG00000082438	COBLL1	1	Skipped Exon_1			-0.14	0.14
JCEC	Event_2277	Skipped Exon	chr2	-	ENSG00000082438	COBLL1	1	Skipped Exon_1			-0.14	0.14
JC	Event_4110	Skipped Exon	chrX	+	ENSG00000082458	DLG3	1	Skipped Exon_1				0.131
JC	Event_342	Alternative 5' Splice Site	chr1	+	ENSG00000082497	SERTAD4	1	Alternative 5' Splice Site_1				0.157
JCEC	Event_342	Alternative 5' Splice Site	chr1	+	ENSG00000082497	SERTAD4	1	Alternative 5' Splice Site_1				0.157
JC	Event_179	Alternative 5' Splice Site	chr17	-	ENSG00000083290	ULK2	1	Alternative 5' Splice Site_1	Unique to shRING1A.B vs Control	0.147		
JCEC	Event_179	Alternative 5' Splice Site	chr17	-	ENSG00000083290	ULK2	1	Alternative 5' Splice Site_1	Unique to shRING1A.B vs Control	0.147		
JC	Event_1861	Skipped Exon	chr17	-	ENSG00000083454	P2RX5	1	Skipped Exon_1	Unique to shRYBP vs Control		0.15	
JCEC	Event_1861	Skipped Exon	chr17	-	ENSG00000083454	P2RX5	1	Skipped Exon_1	Unique to shRYBP vs Control		0.15	
JC	Event_943	Mutually Exclusive Exon	chr13	+	ENSG00000083535	PIBF1	2	Mutually Exclusive Exon_2	Unique to shRYBP vs Control		0.239	
JCEC	Event_1160	Mutually Exclusive Exon	chr13	+	ENSG00000083535	PIBF1	1	Mutually Exclusive Exon_1	Unique to shRYBP vs Control		0.259	
JC	Event_87	Alternative 5' Splice Site	chr13	+	ENSG00000083544	TDRD3	1	Alternative 5' Splice Site_1	Unique to shRYBP vs Control		0.197	
JCEC	Event_87	Alternative 5' Splice Site	chr13	+	ENSG00000083544	TDRD3	1	Alternative 5' Splice Site_1	Unique to shRYBP vs Control		0.197	
JC	Event_2638	Skipped Exon	chrX	+	ENSG00000083750	RRAGB	1	Skipped Exon_1	Unique to shRYBP vs Control		-0.235	
JCEC	Event_2638	Skipped Exon	chrX	+	ENSG00000083750	RRAGB	1	Skipped Exon_1	Unique to shRYBP vs Control		-0.235	
JC	Event_1751	Skipped Exon	chr19	-	ENSG00000083807	SLC27A5	1	Skipped Exon_1	Unique to shRYBP vs Control		0.113	
JCEC	Event_1751	Skipped Exon	chr19	-	ENSG00000083807	SLC27A5	1	Skipped Exon_1	Unique to shRYBP vs Control		0.113	
JC	Event_1342	Retained Intron	chr11	+	ENSG00000084207	GSTP1	1	Retained Intron_1	Common to shRING1A.B and shRYBP	-0.206	-0.206	
JCEC	Event_1607	Retained Intron	chr11	+	ENSG00000084207	GSTP1	2	Retained Intron_2	Common to shRING1A.B and shRYBP	-0.227	-0.227	
JC	Event_3281	Skipped Exon	chr1	-	ENSG00000084636	COL16A1	1	Skipped Exon_1	Unique to shRING1A.B vs Control	0.246		
JC	Event_4116	Skipped Exon	chr1	-	ENSG00000084636	COL16A1	2	Skipped Exon_2				0.421
JC	Event_551	Alternative 3' Splice Site	chr1	-	ENSG00000084636	COL16A1	1	Alternative 3' Splice Site_1	Common to shRING1A.B and shRYBP	-0.24	-0.191	
JCEC	Event_3281	Skipped Exon	chr1	-	ENSG00000084636	COL16A1	1	Skipped Exon_1	Unique to shRING1A.B vs Control	0.246		
JCEC	Event_4116	Skipped Exon	chr1	-	ENSG00000084636	COL16A1	2	Skipped Exon_2				0.421
JCEC	Event_551	Alternative 3' Splice Site	chr1	-	ENSG00000084636	COL16A1	1	Alternative 3' Splice Site_1	Common to shRING1A.B and shRYBP	-0.24	-0.191	
JC	Event_2075	Skipped Exon	chr2	+	ENSG00000084676	NCOA1	1	Skipped Exon_1	Unique to shRYBP vs Control		-0.246	
JCEC	Event_2075	Skipped Exon	chr2	+	ENSG00000084676	NCOA1	1	Skipped Exon_1	Unique to shRYBP vs Control		-0.246	
JC	Event_2371	Skipped Exon	chr2	+	ENSG00000084693	AGBL5	1	Skipped Exon_1			0.202	-0.202
JC	Event_3405	Skipped Exon	chr2	+	ENSG00000084693	AGBL5	2	Skipped Exon_2	Unique to shRING1A.B vs Control	-0.375		
JCEC	Event_2371	Skipped Exon	chr2	+	ENSG00000084693	AGBL5	1	Skipped Exon_1			0.202	-0.202
JCEC	Event_3405	Skipped Exon	chr2	+	ENSG00000084693	AGBL5	2	Skipped Exon_2	Unique to shRING1A.B vs Control	-0.375		
JC	Event_4391	Skipped Exon	chrX	-	ENSG00000085224	ATRX	1	Skipped Exon_1				0.129
JCEC	Event_4391	Skipped Exon	chrX	-	ENSG00000085224	ATRX	1	Skipped Exon_1				0.129
JC	Event_3760	Skipped Exon	chr3	+	ENSG00000085274	MYNN	1	Skipped Exon_1	Unique to shRING1A.B vs Control	-0.322		
JCEC	Event_3760	Skipped Exon	chr3	+	ENSG00000085274	MYNN	1	Skipped Exon_1	Unique to shRING1A.B vs Control	-0.322		
JC	Event_1995	Skipped Exon	chr6	-	ENSG00000085382	HACE1	1	Skipped Exon_1			-0.56	0.315
JCEC	Event_1995	Skipped Exon	chr6	-	ENSG00000085382	HACE1	1	Skipped Exon_1			-0.56	0.315
JCEC	Event_467	Alternative 5' Splice Site	chr18	+	ENSG00000085415	SEH1L	1	Alternative 5' Splice Site_1	Unique to shRING1A.B vs Control	0.134		
JC	Event_1414	Retained Intron	chr1	-	ENSG00000085998	POMGNT1	1	Retained Intron_1	Same Direction	0.241		0.174
JC	Event_910	Mutually Exclusive Exon	chr1	-	ENSG00000085998	POMGNT1	1	Mutually Exclusive Exon_1	Unique to shRYBP vs Control		-0.124	
JCEC	Event_1658	Retained Intron	chr1	-	ENSG00000085998	POMGNT1	2	Retained Intron_2	Same Direction	0.235		0.157
JCEC	Event_910	Mutually Exclusive Exon	chr1	-	ENSG00000085998	POMGNT1	1	Mutually Exclusive Exon_1	Unique to shRYBP vs Control		-0.124	
JC	Event_2569	Skipped Exon	chr7	+	ENSG00000086730	LAT2	1	Skipped Exon_1	Unique to shRYBP vs Control		0.382	
JC	Event_2570	Skipped Exon	chr7	+	ENSG00000086730	LAT2	2	Skipped Exon_2			0.572	-0.515
JC	Event_2571	Skipped Exon	chr7	+	ENSG00000086730	LAT2	3	Skipped Exon_3			0.568	-0.516
JC	Event_2572	Skipped Exon	chr7	+	ENSG00000086730	LAT2	4	Skipped Exon_4	Unique to shRYBP vs Control		0.574	
JC	Event_667	Alternative 3' Splice Site	chr7	+	ENSG00000086730	LAT2	1	Alternative 3' Splice Site_1	Unique to shRING1A.B vs Control	0.119		
JCEC	Event_2569	Skipped Exon	chr7	+	ENSG00000086730	LAT2	1	Skipped Exon_1	Unique to shRYBP vs Control		0.382	
JCEC	Event_2570	Skipped Exon	chr7	+	ENSG00000086730	LAT2	2	Skipped Exon_2			0.572	-0.515
JCEC	Event_4809	Skipped Exon	chr7	+	ENSG00000086730	LAT2	5	Skipped Exon_5			0.505	-0.454
JCEC	Event_4810	Skipped Exon	chr7	+	ENSG00000086730	LAT2	6	Skipped Exon_6	Unique to shRYBP vs Control		0.507	
JCEC	Event_814	Alternative 3' Splice Site	chr7	+	ENSG00000086730	LAT2	2	Alternative 3' Splice Site_2	Unique to shRING1A.B vs Control	0.113		
JC	Event_4382	Skipped Exon	chrX	-	ENSG00000086758	HUWE1	1	Skipped Exon_1				-0.183
JCEC	Event_4382	Skipped Exon	chrX	-	ENSG00000086758	HUWE1	1	Skipped Exon_1				-0.183
JC	Event_1028	Mutually Exclusive Exon	chr11	-	ENSG00000086848	ALG9	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control	0.236		
JC	Event_4249	Skipped Exon	chr4	-	ENSG00000087008	ACOX3	1	Skipped Exon_1				0.127
JCEC	Event_4249	Skipped Exon	chr4	-	ENSG00000087008	ACOX3	1	Skipped Exon_1				0.127
JCEC	Event_424	Alternative 5' Splice Site	chr7	+	ENSG00000087087	SRRT	1	Alternative 5' Splice Site_1			-0.39	0.609
JC	Event_2270	Skipped Exon	chr5	-	ENSG00000087206	UIMC1	1	Skipped Exon_1	Unique to shRYBP vs Control		0.292	
JC	Event_2119	Skipped Exon	chr4	+	ENSG00000087266	SH3BP2	1	Skipped Exon_1			0.176	-0.13
JC	Event_57	Alternative 5' Splice Site	chr4	+	ENSG00000087266	SH3BP2	2	Alternative 5' Splice Site_2	Unique to shRYBP vs Control		0.238	
JCEC	Event_2119	Skipped Exon	chr4	+	ENSG00000087266	SH3BP2	1	Skipped Exon_1			0.176	-0.13
JCEC	Event_415	Alternative 5' Splice Site	chr4	+	ENSG00000087266	SH3BP2	1	Alternative 5' Splice Site_1	Unique to shRYBP vs Control		0.244	
JC	Event_2598	Skipped Exon	chr14	-	ENSG00000087299	L2HGDH	1	Skipped Exon_1	Common to shRING1A.B and shRYBP	-0.108	-0.371	
JCEC	Event_2598	Skipped Exon	chr14	-	ENSG00000087299	L2HGDH	1	Skipped Exon_1	Common to shRING1A.B and shRYBP	-0.108	-0.371	
JC	Event_2975	Skipped Exon	chr20	-	ENSG00000087586	AURKA	1	Skipped Exon_1	Unique to shRING1A.B vs Control	-0.106		
JCEC	Event_2975	Skipped Exon	chr20	-	ENSG00000087586	AURKA	1	Skipped Exon_1	Unique to shRING1A.B vs Control	-0.106		
JC	Event_4143	Skipped Exon	chr19	-	ENSG00000087903	RFX2	1	Skipped Exon_1				0.115
JCEC	Event_4143	Skipped Exon	chr19	-	ENSG00000087903	RFX2	1	Skipped Exon_1				0.115
JC	Event_277	Alternative 5' Splice Site	chr19	+	ENSG00000088038	CNOT3	1	Alternative 5' Splice Site_1	Unique to shRING1A.B vs Control	0.101		
JCEC	Event_277	Alternative 5' Splice Site	chr19	+	ENSG00000088038	CNOT3	1	Alternative 5' Splice Site_1	Unique to shRING1A.B vs Control	0.101		
JC	Event_2465	Skipped Exon	chr2	+	ENSG00000088179	PTPN4	1	Skipped Exon_1			0.129	-0.171
JC	Event_3484	Skipped Exon	chr2	+	ENSG00000088179	PTPN4	2	Skipped Exon_2	Unique to shRING1A.B vs Control	0.215		
JC	Event_3485	Skipped Exon	chr2	+	ENSG00000088179	PTPN4	3	Skipped Exon_3	Unique to shRING1A.B vs Control	0.141		
JC	Event_4276	Skipped Exon	chr2	+	ENSG00000088179	PTPN4	4	Skipped Exon_4				0.133
JC	Event_721	Alternative 3' Splice Site	chr2	+	ENSG00000088179	PTPN4	1	Alternative 3' Splice Site_1				0.493
JCEC	Event_2465	Skipped Exon	chr2	+	ENSG00000088179	PTPN4	1	Skipped Exon_1			0.129	-0.171
JCEC	Event_3485	Skipped Exon	chr2	+	ENSG00000088179	PTPN4	3	Skipped Exon_3	Unique to shRING1A.B vs Control	0.141		
JCEC	Event_4276	Skipped Exon	chr2	+	ENSG00000088179	PTPN4	4	Skipped Exon_4				0.133
JCEC	Event_5092	Skipped Exon	chr2	+	ENSG00000088179	PTPN4	5	Skipped Exon_5	Unique to shRING1A.B vs Control	0.178		
JC	Event_3879	Skipped Exon	chr20	+	ENSG00000088305	DNMT3B	1	Skipped Exon_1				0.15
JCEC	Event_3879	Skipped Exon	chr20	+	ENSG00000088305	DNMT3B	1	Skipped Exon_1				0.15
JC	Event_1797	Skipped Exon	chr20	+	ENSG00000088367	EPB41L1	1	Skipped Exon_1	Unique to shRYBP vs Control		-0.113	
JC	Event_2980	Skipped Exon	chr20	+	ENSG00000088367	EPB41L1	2	Skipped Exon_2	Unique to shRING1A.B vs Control	0.115		
JC	Event_3874	Skipped Exon	chr20	+	ENSG00000088367	EPB41L1	3	Skipped Exon_3				0.211
JC	Event_855	Mutually Exclusive Exon	chr20	+	ENSG00000088367	EPB41L1	3	Mutually Exclusive Exon_3	Common to shRING1A.B and shRYBP	-0.452	-0.371	
JC	Event_856	Mutually Exclusive Exon	chr20	+	ENSG00000088367	EPB41L1	4	Mutually Exclusive Exon_4	Unique to shRYBP vs Control		-0.103	
JCEC	Event_1117	Mutually Exclusive Exon	chr20	+	ENSG00000088367	EPB41L1	1	Mutually Exclusive Exon_1	Common to shRING1A.B and shRYBP	-0.412	-0.344	
JCEC	Event_1118	Mutually Exclusive Exon	chr20	+	ENSG00000088367	EPB41L1	2	Mutually Exclusive Exon_2	Unique to shRYBP vs Control		-0.107	
JCEC	Event_2980	Skipped Exon	chr20	+	ENSG00000088367	EPB41L1	2	Skipped Exon_2	Unique to shRING1A.B vs Control	0.115		
JCEC	Event_3874	Skipped Exon	chr20	+	ENSG00000088367	EPB41L1	3	Skipped Exon_3				0.211
JCEC	Event_4568	Skipped Exon	chr20	+	ENSG00000088367	EPB41L1	4	Skipped Exon_4	Unique to shRYBP vs Control		-0.101	
JC	Event_2394	Skipped Exon	chr3	-	ENSG00000088543	C3orf18	1	Skipped Exon_1	Common to shRING1A.B and shRYBP	0.211	0.451	
JCEC	Event_4749	Skipped Exon	chr3	-	ENSG00000088543	C3orf18	2	Skipped Exon_2	Common to shRING1A.B and shRYBP	0.189	0.447	
JCEC	Event_4750	Skipped Exon	chr3	-	ENSG00000088543	C3orf18	3	Skipped Exon_3	Common to shRING1A.B and shRYBP	0.817	0.825	
JC	Event_4338	Skipped Exon	chr3	-	ENSG00000088727	KIF9	1	Skipped Exon_1				0.346
JC	Event_4138	Skipped Exon	chr14	-	ENSG00000088808	PPP1R13B	1	Skipped Exon_1				-0.122
JCEC	Event_4138	Skipped Exon	chr14	-	ENSG00000088808	PPP1R13B	1	Skipped Exon_1				-0.122
JC	Event_2989	Skipped Exon	chr20	+	ENSG00000088881	EBF4	1	Skipped Exon_1	Unique to shRING1A.B vs Control	-0.376		
JCEC	Event_2989	Skipped Exon	chr20	+	ENSG00000088881	EBF4	1	Skipped Exon_1	Unique to shRING1A.B vs Control	-0.376		
JC	Event_953	Mutually Exclusive Exon	chr12	-	ENSG00000089154	GCN1	1	Mutually Exclusive Exon_1	Unique to shRYBP vs Control		0.114	
JC	Event_3882	Skipped Exon	chr20	-	ENSG00000089177	KIF16B	1	Skipped Exon_1				-0.21
JCEC	Event_5220	Skipped Exon	chr20	-	ENSG00000089177	KIF16B	2	Skipped Exon_2				-0.204
JC	Event_928	Mutually Exclusive Exon	chr12	-	ENSG00000089234	BRAP	1	Mutually Exclusive Exon_1	Unique to shRYBP vs Control		0.185	
JCEC	Event_928	Mutually Exclusive Exon	chr12	-	ENSG00000089234	BRAP	1	Mutually Exclusive Exon_1	Unique to shRYBP vs Control		0.185	
JCEC	Event_1527	Retained Intron	chr16	+	ENSG00000089280	FUS	1	Retained Intron_1	Common to shRING1A.B and shRYBP	-0.2	-0.205	
JC	Event_2963	Skipped Exon	chr19	-	ENSG00000089639	GMIP	1	Skipped Exon_1	Unique to shRING1A.B vs Control	-0.11		
JCEC	Event_4941	Skipped Exon	chr19	-	ENSG00000089639	GMIP	2	Skipped Exon_2	Unique to shRING1A.B vs Control	-0.111		
JC	Event_2159	Skipped Exon	chrX	-	ENSG00000089682	RBM41	1	Skipped Exon_1	Unique to shRYBP vs Control		0.253	
JC	Event_2160	Skipped Exon	chrX	-	ENSG00000089682	RBM41	2	Skipped Exon_2	Unique to shRYBP vs Control		0.367	
JC	Event_4081	Skipped Exon	chrX	-	ENSG00000089682	RBM41	3	Skipped Exon_3				0.249
JCEC	Event_2159	Skipped Exon	chrX	-	ENSG00000089682	RBM41	1	Skipped Exon_1	Unique to shRYBP vs Control		0.253	
JCEC	Event_2160	Skipped Exon	chrX	-	ENSG00000089682	RBM41	2	Skipped Exon_2	Unique to shRYBP vs Control		0.367	
JCEC	Event_4081	Skipped Exon	chrX	-	ENSG00000089682	RBM41	3	Skipped Exon_3				0.249
JC	Event_3407	Skipped Exon	chr14	-	ENSG00000089775	ZBTB25	1	Skipped Exon_1	Same Direction	-0.236		-0.238
JC	Event_3408	Skipped Exon	chr14	-	ENSG00000089775	ZBTB25	2	Skipped Exon_2	Unique to shRING1A.B vs Control	-0.159		
JCEC	Event_3407	Skipped Exon	chr14	-	ENSG00000089775	ZBTB25	1	Skipped Exon_1	Same Direction	-0.236		-0.238
JC	Event_2908	Skipped Exon	chr19	+	ENSG00000090006	LTBP4	1	Skipped Exon_1	Unique to shRYBP vs Control		0.468	
JC	Event_4530	Skipped Exon	chr19	+	ENSG00000090006	LTBP4	2	Skipped Exon_2				-0.109
JCEC	Event_2908	Skipped Exon	chr19	+	ENSG00000090006	LTBP4	1	Skipped Exon_1	Unique to shRYBP vs Control		0.468	
JCEC	Event_4530	Skipped Exon	chr19	+	ENSG00000090006	LTBP4	2	Skipped Exon_2				-0.109
JC	Event_222	Alternative 5' Splice Site	chr7	+	ENSG00000090266	NDUFB2	1	Alternative 5' Splice Site_1	Unique to shRING1A.B vs Control	0.183		
JC	Event_3231	Skipped Exon	chr7	+	ENSG00000090266	NDUFB2	1	Skipped Exon_1	Unique to shRING1A.B vs Control	-0.279		
JCEC	Event_222	Alternative 5' Splice Site	chr7	+	ENSG00000090266	NDUFB2	1	Alternative 5' Splice Site_1	Unique to shRING1A.B vs Control	0.183		
JCEC	Event_3231	Skipped Exon	chr7	+	ENSG00000090266	NDUFB2	1	Skipped Exon_1	Unique to shRING1A.B vs Control	-0.279		
JC	Event_299	Alternative 5' Splice Site	chr19	-	ENSG00000090372	STRN4	1	Alternative 5' Splice Site_1				-0.108
JCEC	Event_299	Alternative 5' Splice Site	chr19	-	ENSG00000090372	STRN4	1	Alternative 5' Splice Site_1				-0.108
JC	Event_1922	Skipped Exon	chr16	+	ENSG00000090565	RAB11FIP3	1	Skipped Exon_1	Unique to shRYBP vs Control		0.296	
JCEC	Event_1922	Skipped Exon	chr16	+	ENSG00000090565	RAB11FIP3	1	Skipped Exon_1	Unique to shRYBP vs Control		0.296	
JC	Event_162	Alternative 5' Splice Site	chr1	-	ENSG00000090686	USP48	1	Alternative 5' Splice Site_1	Common to shRING1A.B and shRYBP	-0.115	-0.148	
JCEC	Event_162	Alternative 5' Splice Site	chr1	-	ENSG00000090686	USP48	1	Alternative 5' Splice Site_1	Common to shRING1A.B and shRYBP	-0.115	-0.148	
JC	Event_1888	Skipped Exon	chr16	+	ENSG00000090905	TNRC6A	1	Skipped Exon_1			0.16	-0.16
JC	Event_3928	Skipped Exon	chr16	+	ENSG00000090905	TNRC6A	2	Skipped Exon_2				-0.792
JCEC	Event_1888	Skipped Exon	chr16	+	ENSG00000090905	TNRC6A	1	Skipped Exon_1			0.16	-0.16
JCEC	Event_3928	Skipped Exon	chr16	+	ENSG00000090905	TNRC6A	2	Skipped Exon_2				-0.792
JC	Event_3362	Skipped Exon	chr4	+	ENSG00000090989	EXOC1	1	Skipped Exon_1	Same Direction	-0.234		-0.265
JCEC	Event_3362	Skipped Exon	chr4	+	ENSG00000090989	EXOC1	1	Skipped Exon_1	Same Direction	-0.234		-0.265
JC	Event_2582	Skipped Exon	chr7	-	ENSG00000091129	NRCAM	1	Skipped Exon_1			0.148	-0.132
JC	Event_3580	Skipped Exon	chr7	-	ENSG00000091129	NRCAM	2	Skipped Exon_2	Unique to shRING1A.B vs Control	-0.379		
JCEC	Event_3580	Skipped Exon	chr7	-	ENSG00000091129	NRCAM	2	Skipped Exon_2	Unique to shRING1A.B vs Control	-0.379		
JCEC	Event_4814	Skipped Exon	chr7	-	ENSG00000091129	NRCAM	3	Skipped Exon_3			0.149	-0.133
JC	Event_1891	Skipped Exon	chr16	-	ENSG00000091262	ABCC6	1	Skipped Exon_1	Common to shRING1A.B and shRYBP	0.587	0.481	
JC	Event_634	Alternative 3' Splice Site	chr16	-	ENSG00000091262	ABCC6	1	Alternative 3' Splice Site_1	Unique to shRING1A.B vs Control	0.73		
JCEC	Event_1891	Skipped Exon	chr16	-	ENSG00000091262	ABCC6	1	Skipped Exon_1	Common to shRING1A.B and shRYBP	0.587	0.481	
JCEC	Event_634	Alternative 3' Splice Site	chr16	-	ENSG00000091262	ABCC6	1	Alternative 3' Splice Site_1	Unique to shRING1A.B vs Control	0.73		
JC	Event_3432	Skipped Exon	chr2	+	ENSG00000091409	ITGA6	1	Skipped Exon_1	Same Direction	0.274		0.206
JCEC	Event_3432	Skipped Exon	chr2	+	ENSG00000091409	ITGA6	1	Skipped Exon_1	Same Direction	0.274		0.206
JC	Event_4213	Skipped Exon	chr14	-	ENSG00000092020	PPP2R3C	1	Skipped Exon_1				0.146
JCEC	Event_4213	Skipped Exon	chr14	-	ENSG00000092020	PPP2R3C	1	Skipped Exon_1				0.146
JC	Event_393	Alternative 5' Splice Site	chr14	-	ENSG00000092148	HECTD1	1	Alternative 5' Splice Site_1				0.273
JCEC	Event_393	Alternative 5' Splice Site	chr14	-	ENSG00000092148	HECTD1	1	Alternative 5' Splice Site_1				0.273
JC	Event_4252	Skipped Exon	chr14	-	ENSG00000092199	HNRNPC	1	Skipped Exon_1				0.231
JCEC	Event_4252	Skipped Exon	chr14	-	ENSG00000092199	HNRNPC	1	Skipped Exon_1				0.231
JC	Event_1326	Retained Intron	chr14	-	ENSG00000092330	TINF2	1	Retained Intron_1	Unique to shRYBP vs Control		-0.191	
JC	Event_3625	Skipped Exon	chr14	-	ENSG00000092330	TINF2	1	Skipped Exon_1	Same Direction	0.256		0.256
JC	Event_3626	Skipped Exon	chr14	-	ENSG00000092330	TINF2	2	Skipped Exon_2	Same Direction	0.119		0.119
JCEC	Event_1326	Retained Intron	chr14	-	ENSG00000092330	TINF2	1	Retained Intron_1	Unique to shRYBP vs Control		-0.191	
JCEC	Event_3625	Skipped Exon	chr14	-	ENSG00000092330	TINF2	1	Skipped Exon_1	Same Direction	0.256		0.256
JCEC	Event_3626	Skipped Exon	chr14	-	ENSG00000092330	TINF2	2	Skipped Exon_2	Same Direction	0.119		0.119
JC	Event_2915	Skipped Exon	chr15	+	ENSG00000092531	SNAP23	1	Skipped Exon_1	Common to shRING1A.B and shRYBP	0.3	0.255	
JCEC	Event_2915	Skipped Exon	chr15	+	ENSG00000092531	SNAP23	1	Skipped Exon_1	Common to shRING1A.B and shRYBP	0.3	0.255	
JC	Event_1746	Skipped Exon	chr22	+	ENSG00000093009	CDC45	1	Skipped Exon_1	Unique to shRYBP vs Control		-0.122	
JCEC	Event_1746	Skipped Exon	chr22	+	ENSG00000093009	CDC45	1	Skipped Exon_1	Unique to shRYBP vs Control		-0.122	
JC	Event_2130	Skipped Exon	chr6	-	ENSG00000093144	ECHDC1	1	Skipped Exon_1	Common to shRING1A.B and shRYBP	0.159	0.159	
JCEC	Event_2130	Skipped Exon	chr6	-	ENSG00000093144	ECHDC1	1	Skipped Exon_1	Common to shRING1A.B and shRYBP	0.159	0.159	
JC	Event_2635	Skipped Exon	chrX	+	ENSG00000094631	HDAC6	1	Skipped Exon_1			0.101	-0.113
